cell_type,gene_set
TNK,TH1_helper_vs_all_TNK_positive
TNK,KLRG1neg_effector_vs_all_TNK_positive
TNK,TH22_helper_vs_all_TNK_positive
B,B_plasma_blast_vs_all_B_positive
M,M_mac_IL4_IL13_response
TNK,Central_memory_vs_all_TNK_positive
B,B_reg_vs_all_B_positive
M,M_angiogenesis_regulation_positive
B,B_pb_t2_vs_all_B_positive
TNK,Naive_vs_all_TNK_positive
B,B_memory_igm_MZ_vs_all_B_positive
M,mast_lineage_vs_all_myeloid_positive
all_cells,TCA_cycle
leukocyte,type_I_ifn_response_positive
TNK,TH17_helper_vs_all_TNK_positive
M,complement
TNK,TH2_helper_vs_all_TNK_positive
TNK,Exhaustion_terminal_vs_all_TNK_positive
TNK,Exhaustion_pre_vs_all_TNK_positive
leukocyte,PD-1_signaling_positive
leukocyte,type_II_ifn_response_positive
TNK,NK_adaptive_vs_all_TNK_positive
M,M_mac_vs_all_M_positive
all_cells,glycogenesis
TNK,Tissue_resident_memory_vs_all_TNK_positive
all_cells,pentose_phosphate_pathway
TNK,Treg_vs_all_TNK_positive
TNK,Effector_memory_vs_all_TNK_positive
TNK,TNK_cellular_cytotoxicity_effectors
TNK,ILC2_vs_all_TNK_positive
B,B_memory_switched_vs_all_B_positive
TNK,follicular_helper_vs_all_TNK_positive
B,B_effector_1_vs_all_B_positive
B,B_pb_mature_naive_vs_all_B_positive
TNK,ILC3_NCRneg_vs_all_TNK_positive
TNK,KLRG1pos_effector_vs_all_TNK_positive
M,M_DC_plasmacytoid_positive
M,M_DC_cDC2_positive
TNK,TNK_IL2_STAT5_signaling_positive
all_cells,all_G1S_transition
M,M_mac_IFNG_response
TNK,Stem_cell_memory_vs_all_TNK_positive
all_cells,all_G2M_transition
M,iron_uptake_and_storage
B,B_effector_2_vs_all_B_positive
M,ros_production
TNK,TH9_helper_vs_all_TNK_positive
TNK,Tumor_reactive_effector_vs_all_TNK_positive
B,B_memory_non_switched_vs_all_B_positive
M,M_mono_vs_all_myeloid_positive
TNK,Lymphoid_tissue_inducer_vs_all_TNK_positive
M,M_DC_monocytic_positive
all_cells,glycogenolysis
M,M_granulocyte_vs_all_myeloid_positive
TNK,ILC3_NCRpos_vs_all_TNK_positive
M,M_DC_cDC1_positive
TNK,NK_CD56bright_vs_all_TNK_positive
TNK,ILC1_vs_all_TNK_positive
TNK,TNK_tcr_activation_positive
B,B_memory_double_negative_vs_all_B_positive
B,B_plasma_vs_all_B_positive
B,B_germinal_center_vs_all_B_positive
B,B_pb_t1_vs_all_B_positive
M,mast_cell_granule_effectors
TNK,NK_CD56dim_vs_all_TNK_positive
B,B_pb_t3_vs_all_B_positive
